Participant ID,MentalDemand,PhysicalDemand,TemporalDemand,Effort,Frustration,Performance
874GE,0,0,0,0,0,0
6FERM,5,0,15,0,5,100
K8VKZ,25,25,0,5,5,0
GR7GM,0,10,0,0,5,0
D7DLR,20,0,0,0,80,0
0GR0B,5,15,0,10,0,10
57GEO,0,0,15,5,0,15
GFD02,45,0,10,5,5,25
7Q5SI,5,10,5,0,5,0
C9KBG,5,10,0,5,15,0
H2IIY,0,35,0,0,0,0
7MEOE,5,5,5,5,10,20
POPC4,5,0,0,10,15,0
1BX2A,0,0,0,0,20,0
858OK,5,45,0,0,10,0
Z3TFO,40,25,0,0,20,65
H75VY,40,15,10,10,5,10
CHOBY,20,15,25,5,30,5
F483S,25,5,5,25,65,0
DZDMH,20,5,0,100,85,50
IX4SL,5,5,5,5,40,0
CUZPT,40,35,55,55,55,60
ZU2PA,5,10,0,0,5,0
OSPOJ,35,5,5,5,65,0
I7NPK,15,0,5,0,55,0
SN6KG,0,0,0,0,5,0
W44U7,75,10,5,30,90,80
C2466,5,10,0,5,20,5
8F4IJ,10,5,0,0,10,15
FFB9O,20,0,0,0,55,20
