Participant ID,Treatment1,Treatment1TimeEst,Treatment1Frustration,Treatment1ExitLikelihood,Treatment2,Treatment2TimeEst,Treatment2Frustration,Treatment2ExitLikelihood
874GE,Without_Notification,6,2,Very unlikely,With_Notification,6,1,Very unlikely
6FERM,Without_Notification,1,3,Neutral,With_Notification,5,3,Neutral
K8VKZ,With_Notification,5,3,Unlikely,Without_Notification,3,2,Unlikely
GR7GM,Without_Notification,5,2,Neutral,With_Notification,5,1,Unlikely
D7DLR,Without_Notification,2,4,Very likely,With_Notification,3,3,Neutral
0GR0B,With_Notification,4,2,Unlikely,Without_Notification,3,1,Unlikely
57GEO,With_Notification,2,3,Likely,Without_Notification,2,2,Neutral
GFD02,With_Notification,3,1,Very unlikely,Without_Notification,3.5,1,Very unlikely
7Q5SI,Without_Notification,3,1,Very unlikely,With_Notification,2.5,1,Very unlikely
C9KBG,Without_Notification,5,2,Unlikely,With_Notification,3,1,Very unlikely
H2IIY,Without_Notification,7,2,Very unlikely,With_Notification,5,2,Very unlikely
7MEOE,Without_Notification,3,1,Very unlikely,With_Notification,3,1,Very unlikely
POPC4,With_Notification,4,1,Neutral,Without_Notification,6,2,Likely
1BX2A,With_Notification,12,3,Unlikely,Without_Notification,6,4,Likely
858OK,Without_Notification,7,2,Neutral,With_Notification,6,3,Likely
Z3TFO,With_Notification,3,2,Likely,Without_Notification,5,2,Likely
H75VY,With_Notification,5,1,Neutral,Without_Notification,6,2,Neutral
CHOBY,Without_Notification,7,2,Unlikely,With_Notification,4,2,Unlikely
F483S,Without_Notification,4,3,Neutral,With_Notification,4,2,Unlikely
DZDMH,With_Notification,3,1,Very unlikely,Without_Notification,4,5,Very likely
IX4SL,With_Notification,5,2,Very likely,Without_Notification,3,3,Very likely
CUZPT,Without_Notification,5,4,Neutral,With_Notification,5,3,Neutral
ZU2PA,With_Notification,2,2,Very unlikely,Without_Notification,3,1,Very unlikely
OSPOJ,Without_Notification,8,5,Likely,With_Notification,6,5,Very likely
I7NPK,With_Notification,3,2,Very unlikely,Without_Notification,3,3,Unlikely
SN6KG,With_Notification,10,2,Very unlikely,Without_Notification,5,2,Neutral
W44U7,Without_Notification,3,4,Very likely,With_Notification,2,5,Likely
C2466,Without_Notification,4,2,Neutral,With_Notification,5,3,Likely
8F4IJ,With_Notification,4,2,Very unlikely,Without_Notification,3,1,Very unlikely
FFB9O,With_Notification,4,3,Unlikely,Without_Notification,5,4,Neutral
